baseline,horizon_h,variable,mae,se,err
persistence,48,temperature_2m,0.9000000000000004,0.8100000000000006,-0.9000000000000004
persistence,48,relative_humidity_2m,4.0,16.0,4.0
persistence,48,cloud_cover,59.0,3481.0,-59.0
persistence,48,wind_speed_100m,0.5,0.25,0.5
persistence,48,wind_speed_10m,0.8,0.6400000000000001,0.8
persistence,48,surface_pressure,1.400000000000091,1.9600000000002546,-1.400000000000091
persistence,48,precipitation,1.4,1.9599999999999997,-1.4
persistence,72,temperature_2m,1.6000000000000014,2.5600000000000045,-1.6000000000000014
persistence,72,relative_humidity_2m,0.0,0.0,0.0
persistence,72,cloud_cover,16.0,256.0,-16.0
persistence,72,wind_speed_100m,2.2,4.840000000000001,-2.2
persistence,72,wind_speed_10m,0.09999999999999998,0.009999999999999995,-0.09999999999999998
persistence,72,surface_pressure,1.900000000000091,3.610000000000346,-1.900000000000091
persistence,72,precipitation,1.4,1.9599999999999997,-1.4
climatology,1,temperature_2m,0.6099999999999994,0.3720999999999993,0.6099999999999994
climatology,1,relative_humidity_2m,0.13333333333333997,0.017777777777779547,0.13333333333333997
climatology,1,cloud_cover,19.933333333333337,397.33777777777794,19.933333333333337
climatology,1,wind_speed_100m,0.7700000000000005,0.5929000000000008,0.7700000000000005
climatology,1,wind_speed_10m,0.046666666666666856,0.0021777777777777954,0.046666666666666856
climatology,1,surface_pressure,0.6833333333332803,0.46694444444437194,-0.6833333333332803
climatology,1,precipitation,0.48,0.2304,0.48
climatology,6,temperature_2m,0.9966666666666644,0.9933444444444398,0.9966666666666644
climatology,6,relative_humidity_2m,5.099999999999994,26.00999999999994,5.099999999999994
climatology,6,cloud_cover,15.033333333333331,226.00111111111104,15.033333333333331
climatology,6,wind_speed_100m,1.86,3.4596000000000005,-1.86
climatology,6,wind_speed_10m,1.3633333333333333,1.8586777777777777,-1.3633333333333333
climatology,6,surface_pressure,0.2266666666665742,0.05137777777773586,0.2266666666665742
climatology,6,precipitation,0.1,0.010000000000000002,0.1
climatology,12,shortwave_radiation,210.56666666666672,44338.32111111113,-210.56666666666672
climatology,12,direct_normal_irradiance,418.94999999999993,175519.10249999995,-418.94999999999993
climatology,12,diffuse_radiation,132.4,17529.760000000002,132.4
climatology,12,temperature_2m,2.2200000000000024,4.9284000000000106,-2.2200000000000024
climatology,12,relative_humidity_2m,25.66666666666667,658.777777777778,25.66666666666667
climatology,12,cloud_cover,28.5,812.25,28.5
climatology,12,wind_speed_100m,1.4666666666666677,2.151111111111114,-1.4666666666666677
climatology,12,wind_speed_10m,1.1099999999999994,1.2320999999999986,-1.1099999999999994
climatology,12,surface_pressure,2.123333333333335,4.508544444444451,-2.123333333333335
climatology,12,precipitation,4.25,18.0625,4.25
climatology,24,temperature_2m,0.19333333333333513,0.037377777777778474,0.19333333333333513
climatology,24,relative_humidity_2m,1.7666666666666657,3.121111111111108,1.7666666666666657
climatology,24,cloud_cover,12.299999999999997,151.28999999999994,12.299999999999997
climatology,24,wind_speed_100m,2.0700000000000003,4.284900000000001,-2.0700000000000003
climatology,24,wind_speed_10m,1.6100000000000003,2.592100000000001,-1.6100000000000003
climatology,24,surface_pressure,0.5866666666665878,0.34417777777768527,-0.5866666666665878
climatology,24,precipitation,0.06999999999999999,0.004899999999999999,-0.06999999999999999
climatology,48,temperature_2m,0.20666666666666522,0.04271111111111051,-0.20666666666666522
climatology,48,relative_humidity_2m,1.7666666666666657,3.121111111111108,1.7666666666666657
climatology,48,cloud_cover,41.7,1738.8900000000003,-41.7
climatology,48,wind_speed_100m,0.8700000000000001,0.7569000000000002,-0.8700000000000001
climatology,48,wind_speed_10m,0.5100000000000002,0.2601000000000002,-0.5100000000000002
climatology,48,surface_pressure,1.9866666666666788,3.946844444444493,-1.9866666666666788
climatology,48,precipitation,0.06999999999999999,0.004899999999999999,-0.06999999999999999
climatology,72,temperature_2m,0.9066666666666663,0.8220444444444438,-0.9066666666666663
climatology,72,relative_humidity_2m,2.2333333333333343,4.987777777777782,-2.2333333333333343
climatology,72,cloud_cover,1.2999999999999972,1.6899999999999926,1.2999999999999972
climatology,72,wind_speed_100m,3.5700000000000003,12.744900000000001,-3.5700000000000003
climatology,72,wind_speed_10m,1.4100000000000001,1.9881000000000004,-1.4100000000000001
climatology,72,surface_pressure,2.486666666666679,6.183511111111171,-2.486666666666679
climatology,72,precipitation,0.06999999999999999,0.004899999999999999,-0.06999999999999999
mos,1,temperature_2m,0.0882960328706961,0.0077961894207030456,0.0882960328706961
mos,1,relative_humidity_2m,3.384188596235134,11.452732454887927,3.384188596235134
